"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"31/01/2025","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.00","0.38","32.00","12.16"
"31/01/2025","EGH","6.60","6.50","6.60","6.60","6.60","6.60","0.00","6.50","0.00","0.00","0.00"
"31/01/2025","EGL","2.05","1.98","2.05","2.05","2.05","2.05","0.00","2.05","0.00","22,659.00","46,450.95"
"31/01/2025","ETI","0.40","0.31","0.40","0.40","0.40","0.40","0.00","0.41","0.00","0.00","0.00"
"31/01/2025","FML","3.70","3.70","3.70","3.70","3.70","3.70","0.00","3.70","0.00","10.00","37.00"
"31/01/2025","GCB","6.41","6.37","6.41","6.41","6.41","6.41","0.00","6.41","0.00","0.00","0.00"
"31/01/2025","GGBL","5.60","5.50","5.60","5.60","5.60","5.60","0.00","5.60","5.80","0.00","0.00"
"31/01/2025","GOIL","1.59","1.52","1.59","1.59","1.59","1.59","0.00","1.59","0.00","49,659.00","78,957.81"
"31/01/2025","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","0.00","5.38","0.00","0.00"
"31/01/2025","MTNGH","2.75","2.50","2.75","2.75","2.75","2.75","0.00","2.75","2.90","6,096.00","16,764.00"
"31/01/2025","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"31/01/2025","RBGH","0.66","0.60","0.60","0.60","0.60","0.60","0.00","0.60","0.66","8.00","4.80"
"31/01/2025","SCB","23.00","23.00","23.00","23.00","23.00","23.00","0.00","25.00","0.00","0.00","0.00"
"31/01/2025","SIC","0.27","0.27","0.27","0.27","0.27","0.27","0.00","0.27","0.00","100.00","27.00"
"31/01/2025","SOGEGH","1.50","1.50","1.50","1.50","1.50","1.50","0.00","1.50","0.00","0.00","0.00"
"31/01/2025","TBL","0.83","0.83","0.83","0.83","0.83","0.83","0.00","0.83","0.00","0.00","0.00"
"31/01/2025","TOTAL","13.37","13.12","13.37","13.37","13.37","13.37","0.00","13.40","0.00","0.00","0.00"
"31/01/2025","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","0.00","11.92","9.00","107.28"
"31/01/2025","UNIL","19.50","19.50","19.50","19.50","19.50","19.50","0.00","19.50","0.00","0.00","0.00"
"31/01/2025","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0.00","0.00","0.00","0.00","0.00"
"31/01/2025","CALPREF","0.29","0.29","0.29","0.29","0.29","0.29","0.00","0.29","0.00","0.00","0.00"
"31/01/2025","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","0.00","0.00","0.00"
